"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.719646188E0,1.879530549E-1,-1.145140648E0,3.569113016E-1,1.214108369E0
3.736578897E0,1.099203825E-1,-8.499765396E-1,5.198615193E-1,1.002396432E0
3.753497182E0,-8.888584375E-2,-7.892179489E-1,-1.559387445E-1,8.093717046E-1
3.770457794E0,4.357124567E-1,-1.111694336E0,-2.523316145E-1,1.220401936E0
3.787365540E0,5.982657671E-1,-1.007181168E0,3.498680592E-1,1.222597027E0
3.804306143E0,1.693695784E-1,-3.942842484E-1,2.783519030E-1,5.114937971E-1
3.821241212E0,-8.341550827E-3,3.208456039E-1,7.163320780E-1,7.849478511E-1
3.838178976E0,-2.258526087E-1,7.952461243E-1,2.947140336E-1,8.776571999E-1
3.855117129E0,1.143522263E-1,8.898983002E-1,-9.947547317E-2,9.027130142E-1
3.872063754E0,-1.674613953E-1,1.632967949E0,-8.484330773E-2,1.643723221E0
3.889029035E0,-9.957098961E-2,2.095934391E0,1.500593424E-1,2.103657092E0
3.905967085E0,-4.615553617E-1,2.507907867E0,7.380908728E-2,2.551094472E0
3.922905806E0,-2.952053547E-1,2.634551048E0,-2.440801561E-1,2.662251031E0
3.939786727E0,-3.816385269E-1,2.638690948E0,1.103029549E-1,2.668427370E0
3.956780695E0,-4.769889712E-1,2.784390450E0,-2.574894130E-1,2.836661674E0
3.973718714E0,-5.875051022E-3,2.366939068E0,-2.124224603E-1,2.376459208E0
3.990653091E0,6.305277348E-2,2.506317616E0,8.742696047E-2,2.508634512E0
4.007594621E0,-1.536607146E-1,3.141212463E0,-1.610240340E-1,3.149088137E0
4.024530646E0,-4.489399791E-1,3.761962891E0,1.356208324E-2,3.788679958E0
4.041470404E0,-5.228928328E-1,4.103977680E0,-4.122279286E-1,4.157641348E0
4.058418585E0,-2.327325940E-1,4.239362717E0,-7.410939336E-1,4.309939782E0
4.075322904E0,-2.615045905E-1,4.399653435E0,-1.018522620E0,4.523574176E0
4.092241290E0,-3.549218178E-2,4.357864857E0,-1.028302908E0,4.477683852E0
4.109196338E0,-3.404142559E-1,4.612393856E0,-1.165097713E0,4.769435148E0
4.126138060E0,-2.972718775E-1,4.621127129E0,-1.103240848E0,4.760286428E0
4.143073220E0,-3.561584949E-1,4.548646450E0,-8.746865392E-1,4.645654953E0
4.160011870E0,-4.449671805E-1,4.351264477E0,-1.172262907E0,4.528321837E0
4.176945394E0,-1.189251542E-1,3.917397022E0,-1.041212678E0,4.055153075E0
4.193860230E0,-3.197145462E-2,3.887306213E0,-8.089075089E-1,3.970705621E0
4.210812317E0,-6.613963842E-2,4.116855621E0,-6.510248184E-1,4.168537870E0
4.227749472E0,-4.310439229E-1,4.448940754E0,-6.242722273E-1,4.513157266E0
4.244687400E0,-4.179392159E-1,4.292447567E0,-8.364819884E-1,4.393117506E0
4.261625124E0,-3.108445406E-1,4.136435032E0,-1.100879192E0,4.291695947E0
4.278562522E0,-2.225554585E-1,3.940509796E0,-1.123818755E0,4.103671159E0
4.295500705E0,4.300856590E-2,3.464946747E0,-8.138357401E-1,3.559499165E0
4.312435845E0,-1.928206682E-1,3.362913132E0,-7.267284989E-1,3.445939473E0
4.329379124E0,-1.438529491E-1,2.850902557E0,-4.905035496E-1,2.896365446E0
4.346313837E0,-1.793088317E-1,2.641387939E0,-2.667881846E-1,2.660875390E0
4.363251887E0,-4.093641043E-1,2.228036404E0,-4.665024877E-1,2.312866135E0
4.380186497E0,-1.283971071E-1,1.806988716E0,-2.755981684E-1,1.832388711E0
4.397145727E0,-1.837337017E-2,1.713866234E0,-2.307999730E-1,1.729434496E0
4.414053788E0,1.446420550E-1,1.519709587E0,-3.314957619E-1,1.562154920E0
4.431016760E0,-9.189015627E-2,1.565505028E0,-4.873678684E-1,1.642186723E0
